"Colonne";"Contenu";"Groupement";"Matière"
"Option 1";"ANGLAIS LV1";"Anglais";"Anglais A"
"Option 2";"ESPAGNOL LV2";"LV2";"Espagnol A"
"Option 2";"ALLEMAND LV2";"LV2";"Allemand"
"Option 2";"ITALIEN LV2";"LV2";"Italien"
"Option 3";"MATHEMATIQUES APPLIQ";"Mathématiques";"Maths Appli"
"Option 3";"MATHEMATIQUES APPLIQ";"TD Maths";"TD Appli"
"Option 3";"MATHEMATIQUES APPLIQ";"TP Info";"TP Info"
"Option 3";"MATHS APPROFONDIES";"Mathématiques";"Maths Appro"
"Option 3";"MATHS APPROFONDIES";"TD Maths";"TD Appro"
"Option 3";"MATHS APPROFONDIES";"TP Info";"TP Info"
"Autres options";"HIST.GEO.GEOPOLITIQ.";"Spécialité";"HGG"
"Autres options";"ECON.SOC.& HIST. MC";"Spécialité";"ESH"
"Autres options";"MATHEMATIQUES APPLIQ";"Mathématiques";"Maths Appli"
"Autres options";"MATHEMATIQUES APPLIQ";"TD Maths";"TD Appli"
"Autres options";"MATHEMATIQUES APPLIQ";"TP Info";"TP Info"
"Autres options";"MATHS APPROFONDIES";"Mathématiques";"Maths Appro"
"Autres options";"MATHS APPROFONDIES";"TD Maths";"TD Appro"
"Autres options";"MATHS APPROFONDIES";"TP Info";"TP Info"
"Option 3";"HIST.GEO.GEOPOLITIQ.";"Spécialité";"HGG"
"Option 3";"ECON.SOC.& HIST. MC";"Spécialité";"ESH"
