"Matière";"Groupement";"Durée";"Période";"Période stricte";"TD";"Min élèves par groupe";"Max élèves par groupe";"Équilibrer les prof"
"ESH";"Spécialité";"60";"2";"1";"0";"2";"3";"1"
"HGG";"Spécialité";"60";"2";"1";"0";"2";"3";"1"
"Lettres-Philo A";"Lettres-Philo";"60";"2";"1";"0";"2";"3";"1"
"Lettres-Philo B";"Lettres-Philo";"60";"2";"1";"0";"2";"3";"1"
"Anglais A";"Anglais";"60";"2";"1";"0";"2";"3";"1"
"Anglais B";"Anglais";"60";"2";"1";"0";"2";"3";"1"
"Espagnol A";"LV2";"60";"2";"1";"0";"2";"3";"1"
"Espagnol B";"LV2";"60";"2";"1";"0";"2";"3";"1"
"Allemand";"LV2";"60";"2";"1";"0";"2";"3";"1"
"Italien";"LV2";"60";"2";"1";"0";"2";"3";"1"
"Maths Appro";"Mathématiques";"60";"2";"1";"0";"2";"3";"1"
"Maths Appli";"Mathématiques";"60";"2";"1";"0";"2";"3";"1"
"TP Info";"TP Info";"60";"1";"1";"1";"12";"24";"0"
"TD Appro";"TD Maths";"120";"1";"1";"1";"12";"24";"0"
"TD Appli";"TD Maths";"120";"1";"1";"1";"12";"24";"0"
